Effect						
)						
	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	exp_dens_share_pop_6402	exp_dens_share_pop_6402	exp_dens_share_dist_6402	exp_dens_share_dist_6402	exp_dens_share_mp_6402	exp_dens_share_mp_6402
						
president	0.41	0.59	0.11	-0.16	0.40	0.11
	[0.698]	[0.968]	[0.820]	[0.947]	[0.494]	[0.656]
presidentMP		-0.52		0.79		0.85
		[1.348]		[1.305]		[1.500]
multiparty		-11.33		1.17		13.55
		[11.037]		[14.420]		[21.646]
pop1962_t	-0.00	-0.00	-0.00	-0.00	0.00	0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
area_t	0.00	0.00	0.00	0.00	0.00	0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
urbrate1962_t	-0.00	-0.00	0.00	0.00	0.00	0.00
	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]
earnings_t	-0.01	-0.01	-0.00	-0.00	-0.01	-0.01
	[0.005]	[0.005]	[0.006]	[0.006]	[0.004]	[0.004]
wage_employment_t	0.00	0.00	0.00	0.00	0.00	0.00
	[0.001]	[0.001]	[0.002]	[0.002]	[0.001]	[0.001]
value_cashcrops_t	-0.00	-0.00	-0.00	-0.00	0.00	0.00
	[0.001]	[0.001]	[0.001]	[0.001]	[0.001]	[0.001]
year	1.34	1.34	-0.07	-0.07	-1.54	-1.54
	[1.240]	[1.240]	[1.475]	[1.476]	[2.187]	[2.188]
_IMomXyear_1	-0.04	-0.04	-0.01	-0.01	-0.08	-0.08*
	[0.037]	[0.034]	[0.048]	[0.047]	[0.048]	[0.047]
_IborXyear_1	-0.06	-0.06	-0.07	-0.07	0.03	0.03
	[0.076]	[0.078]	[0.073]	[0.073]	[0.080]	[0.081]
dist2nairobi_t	-0.00	-0.00	0.00	0.00	0.00	0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
_Iyear_1964	48.34	48.35	-2.19	-2.20	-53.20	-53.21
	[45.100]	[45.124]	[55.665]	[55.679]	[79.960]	[79.970]
_Iyear_1965	45.39	45.40	-0.67	-0.68	-51.78	-51.80
	[43.886]	[43.910]	[54.235]	[54.249]	[77.812]	[77.821]
_Iyear_1966	44.12	44.13	-2.08	-2.09	-49.39	-49.41
	[42.668]	[42.691]	[52.486]	[52.500]	[74.538]	[74.546]
_Iyear_1967	44.42	44.43	-1.75	-1.76	-50.43	-50.44
	[41.450]	[41.473]	[50.747]	[50.759]	[75.347]	[75.356]
_Iyear_1968	42.76	42.77	-2.09	-2.11	-48.44	-48.46
	[40.216]	[40.239]	[49.781]	[49.794]	[73.224]	[73.232]
_Iyear_1969	41.97	41.98	-1.98	-1.99	-47.09	-47.10
	[38.994]	[39.017]	[48.315]	[48.326]	[71.071]	[71.078]
_Iyear_1970	40.89	29.48	-0.98	0.30	-45.65	-31.97
	[37.773]	[26.789]	[46.874]	[32.473]	[68.885]	[47.462]
_Iyear_1971	38.88	27.47	-1.73	-0.45	-44.44	-30.76
	[36.618]	[25.628]	[45.428]	[31.014]	[66.698]	[45.277]
_Iyear_1972	37.00	25.59	-0.49	0.80	-41.77	-28.09
	[35.341]	[24.343]	[43.938]	[29.549]	[63.490]	[42.074]
_Iyear_1973	37.98	26.57	-1.43	-0.14	-41.01	-27.34
	[34.110]	[23.131]	[42.424]	[28.017]	[62.426]	[41.008]
_Iyear_1974	38.51	27.09	-1.23	0.06	-39.56	-25.89
	[33.143]	[22.278]	[41.003]	[26.597]	[59.908]	[38.490]
_Iyear_1975	33.40	21.99	-1.37	-0.08	-38.12	-24.44
	[31.669]	[20.672]	[39.477]	[25.070]	[58.203]	[36.790]
_Iyear_1976	33.46	22.05	-1.71	-0.42	-34.41	-20.73
	[30.512]	[19.557]	[38.001]	[23.593]	[56.073]	[34.703]
_Iyear_1977	34.53	23.12	-1.82	-0.53	-35.38	-21.70
