Effect										
)										
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share
										
president	1.29***	2.33***	1.08***	1.74***	0.87**	1.69**	0.86***	1.97***	0.84**	1.78***
	[0.426]	[0.789]	[0.357]	[0.518]	[0.315]	[0.627]	[0.301]	[0.634]	[0.333]	[0.590]
presidentMP		-2.10**		-1.23*		-1.46*		-1.98**		-1.75**
		[0.908]		[0.671]		[0.743]		[0.765]		[0.649]
multiparty		0.13		0.03		0.24		0.35		0.11
		[0.513]		[0.496]		[0.625]		[0.510]		[0.458]
pop1962_t	0.00	0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
area_t	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
urbrate1962_t	0.00*	0.00*	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	[0.002]	[0.002]	[0.002]	[0.002]	[0.003]	[0.003]	[0.002]	[0.002]	[0.003]	[0.003]
earnings_t	-0.01	-0.01*	-0.00	-0.00	0.00	0.00	-0.00	-0.00	-0.00	-0.00
	[0.005]	[0.005]	[0.005]	[0.005]	[0.006]	[0.005]	[0.006]	[0.006]	[0.003]	[0.003]
wage_employment_t	0.00	0.00	0.00	0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
value_cashcrops_t	0.00	0.00	0.00	0.00	-0.00	-0.00	0.00	0.00	0.00	0.00
	[0.001]	[0.001]	[0.001]	[0.001]	[0.002]	[0.002]	[0.002]	[0.002]	[0.000]	[0.000]
year	0.08**	0.09**	0.05**	0.05**	0.03	0.04	0.06**	0.07**	0.05*	0.06**
	[0.033]	[0.033]	[0.023]	[0.023]	[0.034]	[0.034]	[0.028]	[0.028]	[0.029]	[0.029]
_IMomXyear_1	-0.00	-0.00	-0.00	-0.00			0.02	0.01	0.01	0.01
	[0.021]	[0.020]	[0.021]	[0.021]			[0.035]	[0.034]	[0.019]	[0.018]
_IborXyear_1	0.04	0.04	0.01	0.00	-0.02	-0.01	0.02	0.02	0.02	0.02
	[0.024]	[0.022]	[0.022]	[0.021]	[0.025]	[0.025]	[0.023]	[0.023]	[0.020]	[0.019]
dist2nairobi_t	-0.00*	-0.00*	-0.00	-0.00	0.00	0.00	-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
_Iyear_1964	0.04	0.04	-0.03	-0.03	-0.23**	-0.23**	-0.04	-0.04	0.03	0.03
	[0.170]	[0.170]	[0.159]	[0.159]	[0.107]	[0.107]	[0.178]	[0.178]	[0.157]	[0.157]
_Iyear_1965	0.15	0.15	-0.05	-0.05	-0.29**	-0.29**	0.06	0.06	0.10	0.10
	[0.205]	[0.205]	[0.182]	[0.182]	[0.121]	[0.121]	[0.215]	[0.215]	[0.186]	[0.186]
_Iyear_1966	0.20	0.20	-0.01	-0.01	-0.08	-0.08	0.11	0.11	0.18	0.18
	[0.217]	[0.218]	[0.193]	[0.193]	[0.242]	[0.242]	[0.226]	[0.226]	[0.192]	[0.192]
_Iyear_1967	0.28	0.28	0.07	0.07	0.21	0.21	0.28	0.28	0.27	0.27
	[0.282]	[0.282]	[0.254]	[0.254]	[0.306]	[0.306]	[0.290]	[0.290]	[0.257]	[0.257]
_Iyear_1968	1.04	1.04	0.37	0.37	0.60	0.60	0.96	0.96	0.88	0.88
	[0.713]	[0.713]	[0.475]	[0.475]	[0.654]	[0.654]	[0.717]	[0.717]	[0.637]	[0.637]
_Iyear_1969	0.94	0.94	0.41	0.41	0.66	0.66	0.86	0.86	0.78	0.78
	[0.706]	[0.706]	[0.529]	[0.529]	[0.735]	[0.735]	[0.711]	[0.711]	[0.631]	[0.631]
_Iyear_1970	0.32	0.32	0.18	0.01	0.24	0.20	0.31	0.34	0.24	0.11
	[0.236]	[0.592]	[0.215]	[0.510]	[0.259]	[0.685]	[0.238]	[0.570]	[0.221]	[0.517]
_Iyear_1971	0.44	0.44	0.26	0.09	0.38	0.33	0.38	0.42	0.35	0.21
	[0.416]	[0.715]	[0.358]	[0.608]	[0.486]	[0.851]	[0.417]	[0.696]	[0.375]	[0.626]
_Iyear_1972	0.31	0.31	0.29	0.12	0.29	0.24	0.26	0.30	0.23	0.09
	[0.362]	[0.685]	[0.340]	[0.583]	[0.430]	[0.817]	[0.361]	[0.665]	[0.324]	[0.599]
_Iyear_1973	0.29	0.29	0.42	0.24	0.51	0.47	0.33	0.37	0.26	0.12
	[0.267]	[0.591]	[0.251]	[0.501]	[0.314]	[0.697]	[0.266]	[0.574]	[0.237]	[0.520]
_Iyear_1974	0.08	0.08	0.33	0.16	0.53	0.49	0.29	0.33	0.29	0.16
	[0.256]	[0.586]	[0.331]	[0.537]	[0.439]	[0.748]	[0.371]	[0.616]	[0.326]	[0.555]
_Iyear_1975	-0.14	-0.14	-0.04	-0.21	0.13	0.09	-0.09	-0.05	-0.01	-0.15
	[0.148]	[0.471]	[0.136]	[0.412]	[0.122]	[0.553]	[0.153]	[0.464]	[0.149]	[0.407]
_Iyear_1976	-0.30	-0.30	-0.04	-0.22	0.25	0.21	-0.02	0.02	-0.06	-0.20
	[0.216]	[0.425]	[0.228]	[0.401]	[0.270]	[0.517]	[0.261]	[0.434]	[0.227]	[0.382]
