Effect																
)																
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share	exp_dens_share2	exp_dens_share2	exp_dens_share2	exp_dens_share2	change_paved_share	change_paved_share	change_paved_share	change_paved_share	change_paved_share2	change_paved_share2	change_paved_share2	change_paved_share2
																
president	1.00***		1.72***		1.78*		2.98***		3.71**		4.26**		4.54***		5.67***	
	[0.350]		[0.489]		[0.886]		[0.988]		[1.691]		[1.744]		[1.543]		[1.677]	
presidentMP			-1.32**				-2.22*				-2.38*				-4.82	
			[0.623]				[1.285]				[1.358]				[2.889]	
multiparty			-0.02	-0.01			2.73	2.81			2.14	2.10			-0.01	-0.14
			[0.451]	[0.447]			[1.774]	[1.764]			[2.476]	[2.484]			[1.623]	[1.633]
pop1962_t	-0.00*	-0.00*	-0.00*	-0.00*	-0.00*	-0.00*	-0.00*	-0.00*	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
area_t	-0.00	-0.00	-0.00	-0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
urbrate1962_t	0.00	0.00	0.00	0.00	-0.00**	-0.00**	-0.00**	-0.00***	0.00	0.00	0.00	0.00	0.01***	0.01***	0.01***	0.01***
	[0.001]	[0.001]	[0.001]	[0.001]	[0.001]	[0.001]	[0.001]	[0.001]	[0.004]	[0.004]	[0.004]	[0.004]	[0.001]	[0.002]	[0.002]	[0.002]
earnings_t	-0.00	-0.00	-0.00	-0.00	0.01	0.01	0.01	0.01	-0.02	-0.01	-0.01	-0.01	-0.01	-0.00	-0.00	0.00
	[0.002]	[0.002]	[0.002]	[0.002]	[0.008]	[0.008]	[0.008]	[0.008]	[0.010]	[0.010]	[0.010]	[0.010]	[0.014]	[0.013]	[0.013]	[0.012]
wage_employment_t	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	0.00	0.00	0.00	0.00	-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]	[0.004]	[0.004]	[0.003]	[0.003]
value_cashcrops_t	-0.00	-0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00	-0.00	-0.00	0.00	0.00	0.00	0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.001]	[0.001]	[0.001]	[0.001]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]	[0.002]
year	0.06**	0.06**	0.07***	0.07***	0.10	0.10	0.11	0.11	0.11	0.10	0.09	0.09	0.09	0.08	0.07	0.06
	[0.024]	[0.024]	[0.024]	[0.024]	[0.068]	[0.068]	[0.070]	[0.070]	[0.179]	[0.179]	[0.182]	[0.181]	[0.134]	[0.128]	[0.129]	[0.125]
_IMomXyear_1	0.01	0.01	0.01	0.01	0.06	0.06	0.06	0.06	-0.16	-0.16	-0.15	-0.15	-0.01	0.00	0.01	0.02
	[0.019]	[0.019]	[0.018]	[0.018]	[0.049]	[0.049]	[0.049]	[0.049]	[0.104]	[0.102]	[0.101]	[0.100]	[0.078]	[0.069]	[0.072]	[0.066]
_IborXyear_1	0.01	0.01	0.01	0.01	-0.00	-0.00	-0.01	-0.01	0.02	0.02	0.02	0.02	0.06	0.05	0.05	0.05
	[0.020]	[0.020]	[0.019]	[0.019]	[0.032]	[0.032]	[0.032]	[0.032]	[0.136]	[0.136]	[0.138]	[0.138]	[0.062]	[0.061]	[0.064]	[0.065]
dist2nairobi_t	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.001]	[0.001]	[0.001]	[0.001]	[0.000]	[0.000]	[0.000]	[0.000]
_Iyear_1964	-0.05	-0.05	-0.05	-0.05	-1.34	-1.34	-1.34	-1.34								
	[0.143]	[0.143]	[0.143]	[0.143]	[1.536]	[1.536]	[1.536]	[1.536]								
_Iyear_1965	-0.02	-0.02	-0.02	-0.02	-2.47	-2.47	-2.47	-2.47								
	[0.173]	[0.173]	[0.173]	[0.173]	[1.718]	[1.718]	[1.719]	[1.719]								
_Iyear_1966	0.02	0.02	0.02	0.02	-3.17	-3.17	-3.17	-3.17								
	[0.185]	[0.185]	[0.185]	[0.185]	[2.337]	[2.337]	[2.337]	[2.337]								
_Iyear_1967	0.11	0.11	0.11	0.11	-2.90	-2.90	-2.90	-2.90								
	[0.238]	[0.238]	[0.238]	[0.238]	[2.350]	[2.350]	[2.351]	[2.351]								
_Iyear_1968	0.68	0.68	0.68	0.68	-3.66	-3.66	-3.66	-3.66								
	[0.568]	[0.568]	[0.568]	[0.568]	[2.358]	[2.358]	[2.359]	[2.359]								
_Iyear_1969	0.63	0.63	0.63	0.63	-3.36	-3.36	-3.36	-3.36	-0.50	-0.50	-0.49	-0.49	1.03	1.03	1.03	1.03
	[0.563]	[0.563]	[0.563]	[0.563]	[2.343]	[2.343]	[2.344]	[2.344]	[1.805]	[1.805]	[1.807]	[1.807]	[2.351]	[2.351]	[2.354]	[2.355]
_Iyear_1970	0.22	0.22	-0.03	-0.06	-1.92	-1.92	0.43	0.37								
	[0.209]	[0.209]	[0.461]	[0.464]	[1.586]	[1.586]	[1.168]	[1.169]								
_Iyear_1971	0.35	0.35	0.11	0.08	-2.77	-2.77	-0.42	-0.48								
	[0.336]	[0.336]	[0.552]	[0.556]	[1.704]	[1.704]	[0.738]	[0.743]								
_Iyear_1972	0.33	0.33	0.09	0.06	-3.34	-3.34	-0.99	-1.05	-0.43	-0.44	1.31	1.27	0.23	0.23	-0.59	-0.64
	[0.312]	[0.312]	[0.528]	[0.534]	[2.039]	[2.039]	[0.783]	[0.792]	[1.261]	[1.261]	[2.700]	[2.694]	[1.522]	[1.524]	[1.961]	[1.931]
_Iyear_1973	0.32	0.32	0.07	0.05	-3.13	-3.13	-0.78	-0.84								
	[0.233]	[0.233]	[0.461]	[0.466]	[2.211]	[2.211]	[0.993]	[0.997]								
_Iyear_1974	0.22	0.22	-0.02	-0.05	-3.78	-3.78	-1.43	-1.49	-1.00	-1.01	0.75	0.71	3.51	3.51	2.69	2.65
	[0.305]	[0.305]	[0.492]	[0.499]	[2.415]	[2.415]	[1.041]	[1.045]	[1.193]	[1.194]	[2.660]	[2.655]	[2.551]	[2.555]	[2.976]	[2.963]
_Iyear_1975	-0.03	-0.03	-0.27	-0.30	-1.63	-1.63	0.72	0.66								
	[0.140]	[0.140]	[0.378]	[0.381]	[2.009]	[2.009]	[1.006]	[0.997]								
_Iyear_1976	-0.01	-0.01	-0.25	-0.28	-0.97	-0.97	1.39	1.33								
	[0.217]	[0.217]	[0.375]	[0.378]	[2.187]	[2.187]	[1.814]	[1.806]								
_Iyear_1977	0.14	0.14	-0.10	-0.13	-1.58	-1.58	0.78	0.72								
	[0.288]	[0.288]	[0.432]	[0.437]	[2.007]	[2.007]	[1.235]	[1.222]								
_Iyear_1978	0.23	0.23	-0.01	-0.04	-2.43	-2.43	-0.07	-0.13								
	[0.375]	[0.375]	[0.462]	[0.471]	[1.976]	[1.976]	[1.007]	[0.995]								
_Iyear_1979	0.55	0.57	0.33	0.33	-1.93	-1.90	0.45	0.45	-0.60	-0.49	1.15	1.26	1.65	1.78	0.85	0.98
	[0.551]	[0.546]	[0.638]	[0.638]	[1.932]	[1.932]	[1.363]	[1.363]	[1.154]	[1.166]	[2.663]	[2.671]	[1.387]	[1.451]	[1.815]	[1.890]
_Iyear_1980	0.30	0.31	0.07	0.07	-3.12	-3.09	-0.74	-0.74								
	[0.433]	[0.427]	[0.520]	[0.520]	[2.175]	[2.175]	[1.064]	[1.064]								
_Iyear_1981	0.29	0.31	0.07	0.07	-3.11	-3.08	-0.73	-0.73	0.24	0.26	2.01	2.02	0.53	0.54	-0.24	-0.24
	[0.434]	[0.429]	[0.548]	[0.548]	[2.046]	[2.044]	[0.875]	[0.875]	[1.494]	[1.494]	[2.840]	[2.845]	[1.666]	[1.656]	[2.149]	[2.145]
_Iyear_1982	0.11	0.12	-0.12	-0.12	-3.36	-3.33	-0.98	-0.98								
	[0.313]	[0.317]	[0.401]	[0.401]	[2.235]	[2.237]	[1.008]	[1.008]								
_Iyear_1983	-0.00	0.01	-0.23	-0.23	-3.21*	-3.18	-0.82	-0.82								
	[0.316]	[0.314]	[0.431]	[0.431]	[1.895]	[1.893]	[0.710]	[0.710]								
_Iyear_1984	-0.06	-0.05	-0.29	-0.29	-2.46	-2.43	-0.08	-0.08	-0.30	-0.28	1.47	1.48	-0.25	-0.24	-1.02	-1.02
	[0.249]	[0.248]	[0.399]	[0.399]	[1.856]	[1.855]	[0.713]	[0.713]	[1.097]	[1.093]	[2.927]	[2.931]	[0.876]	[0.855]	[1.593]	[1.590]
_Iyear_1985	0.10	0.11	-0.13	-0.13	-2.68	-2.65	-0.29	-0.29								
	[0.319]	[0.316]	[0.308]	[0.308]	[1.765]	[1.763]	[0.657]	[0.657]								
_Iyear_1986	0.09	0.10	-0.14	-0.14	-2.53	-2.51	-0.15	-0.15								
	[0.312]	[0.309]	[0.359]	[0.359]	[1.737]	[1.734]	[0.699]	[0.699]								
_Iyear_1987	0.15	0.16	-0.07	-0.07	-2.06	-2.04	0.32	0.32	-0.47	-0.45	1.31	1.31	-1.33	-1.32	-2.08	-2.08
	[0.430]	[0.426]	[0.415]	[0.415]	[1.945]	[1.942]	[1.162]	[1.162]	[1.384]	[1.389]	[2.949]	[2.951]	[0.954]	[0.951]	[1.740]	[1.739]
_Iyear_1988	0.13	0.14	-0.10	-0.10	-2.35	-2.32	0.04	0.04								
	[0.340]	[0.339]	[0.345]	[0.345]	[1.884]	[1.885]	[0.741]	[0.741]								
_Iyear_1989	0.47	0.49	0.25	0.25	-2.78	-2.76	-0.40	-0.40								
	[0.552]	[0.552]	[0.305]	[0.305]	[1.889]	[1.890]	[0.716]	[0.716]								
_Iyear_1990	0.36	0.37	0.13	0.13	-2.57	-2.55	-0.19	-0.19								
	[0.423]	[0.427]	[0.230]	[0.230]	[1.960]	[1.964]	[0.529]	[0.529]								
_Iyear_1991	0.50	0.51	0.28	0.28	-2.29	-2.26	0.09	0.09								
	[0.595]	[0.600]	[0.252]	[0.252]	[1.912]	[1.917]	[0.509]	[0.509]								
o._Iyear_1992			-	-			-	-			-	-			-	-
																
_Iyear_1993	0.13	0.14	0.11	0.11	-2.09	-2.06	-2.11	-2.11								
	[0.367]	[0.371]	[0.373]	[0.376]	[1.719]	[1.721]	[1.728]	[1.731]								
_Iyear_1994	0.08	0.09	0.06	0.07	-2.23	-2.21	-2.26	-2.26								
	[0.322]	[0.328]	[0.335]	[0.339]	[1.548]	[1.550]	[1.563]	[1.569]								
_Iyear_1995	-0.06	-0.04	-0.07	-0.07	-1.57	-1.55	-1.60	-1.60								
	[0.336]	[0.341]	[0.347]	[0.351]	[1.587]	[1.587]	[1.597]	[1.600]								
_Iyear_1996	-0.04	-0.03	-0.05	-0.05	-2.24	-2.21	-2.26	-2.26								
	[0.344]	[0.350]	[0.357]	[0.362]	[1.497]	[1.499]	[1.513]	[1.520]								
_Iyear_1997	-0.06	-0.05	-0.08	-0.07	-2.54*	-2.51*	-2.57*	-2.57*								
	[0.264]	[0.261]	[0.259]	[0.260]	[1.438]	[1.436]	[1.445]	[1.448]								
_Iyear_1998	0.26	0.27	0.24	0.24	-2.55	-2.52	-2.57	-2.57								
	[0.459]	[0.465]	[0.471]	[0.476]	[1.777]	[1.780]	[1.793]	[1.799]								
_Iyear_1999	0.22	0.23	0.20	0.20	-3.40*	-3.37*	-3.43*	-3.42*								
	[0.713]	[0.716]	[0.718]	[0.719]	[1.758]	[1.760]	[1.774]	[1.780]								
_Iyear_2000	1.12	1.14	1.11	1.11	-3.62**	-3.59**	-3.64**	-3.64**								
	[1.300]	[1.300]	[1.300]	[1.300]	[1.732]	[1.732]	[1.747]	[1.753]								
_Iyear_2001	0.20	0.21	0.18	0.18	-3.37*	-3.35*	-3.40*	-3.40*								
	[0.887]	[0.889]	[0.890]	[0.891]	[1.724]	[1.726]	[1.743]	[1.751]								
_Iyear_2002	0.18	0.19	0.16	0.16	-3.42*	-3.39*	-3.44*	-3.44*								
	[0.518]	[0.520]	[0.522]	[0.523]	[1.699]	[1.700]	[1.718]	[1.725]								
_Iyear_2003	-0.13	-0.13	-0.13	-0.13	-3.31*	-3.31*	-3.31*	-3.31*								
	[0.541]	[0.541]	[0.541]	[0.541]	[1.772]	[1.772]	[1.773]	[1.773]								
_Iyear_2004	0.58	0.58	0.58	0.58	-2.71	-2.71	-2.71	-2.71								
	[0.884]	[0.884]	[0.884]	[0.884]	[1.842]	[1.842]	[1.842]	[1.842]								
_Iyear_2005	0.13	0.13	0.13	0.13	-2.98*	-2.98*	-2.98*	-2.98*								
	[0.497]	[0.497]	[0.497]	[0.497]	[1.501]	[1.501]	[1.501]	[1.501]								
_Iyear_2006	-0.41	-0.41	-0.41	-0.41	-1.99	-1.99	-1.99	-1.99								
	[0.415]	[0.415]	[0.415]	[0.415]	[1.563]	[1.563]	[1.563]	[1.563]								
_Iyear_2007	-0.25	-0.25	-0.25	-0.25	-2.74*	-2.74*	-2.74*	-2.74*								
	[0.536]	[0.536]	[0.536]	[0.536]	[1.526]	[1.526]	[1.526]	[1.526]								
_Iyear_2008	-0.07	-0.07	-0.07	-0.07	-0.89	-0.89	-0.89	-0.89								
	[0.314]	[0.314]	[0.314]	[0.314]	[0.613]	[0.613]	[0.613]	[0.613]								
_Iyear_2009	-0.45*	-0.45*	-0.45*	-0.45*	-0.17	-0.17	-0.17	-0.17								
	[0.232]	[0.232]	[0.232]	[0.232]	[1.248]	[1.248]	[1.248]	[1.248]								
_Iyear_2010	-0.42**	-0.42**	-0.42**	-0.42**	0.97	0.97	0.97	0.97								
	[0.192]	[0.192]	[0.192]	[0.192]	[1.881]	[1.881]	[1.882]	[1.882]								
o._Iyear_2011	-	-	-	-	-	-	-	-								
																
																
_Iyear_1992	0.23	0.24			-2.38	-2.36			-1.78	-1.77			0.74	0.75		
	[0.408]	[0.411]			[1.721]	[1.722]			[2.531]	[2.526]			[1.635]	[1.635]		
